,u,v,khopnode,repeat,distance
0,21,30,,0,0.4172191710749421
1,398,432,,0,0.4172191710749421
2,55,83,,0,0.4172191710749421
3,13,260,,0,0.4172191710749421
4,388,459,,0,0.4172191710749421
5,19,160,,0,0.4172191710749421
6,323,377,,0,0.4172191710749421
7,32,327,,0,0.4172191710749421
8,9,356,,0,0.4172191710749421
9,72,338,,0,0.4172191710749421
10,368,447,,0,0.4172191710749421
11,89,115,,0,0.4172191710749421
12,0,262,,0,0.4172191710749421
13,58,453,,0,0.4172191710749421
14,58,443,,0,0.4172191710749421
15,260,354,,0,0.4172191710749421
16,398,437,,0,0.4172191710749421
17,191,435,,0,0.4172191710749421
18,16,58,,0,0.4172191710749421
19,2,257,,0,0.4172191710749421
20,9,64,,0,0.4172191710749421
21,126,373,,0,0.4172191710749421
22,171,337,,0,0.4172191710749421
23,120,240,,0,0.4172191710749421
24,70,194,,0,0.4172191710749421
25,129,360,,0,0.4172191710749421
26,3,255,,0,0.4172191710749421
27,2,233,,0,0.4172191710749421
28,449,478,,0,0.4172191710749421
29,19,82,,0,0.4172191710749421
30,46,444,,0,0.4172191710749421
31,176,398,,0,0.4172191710749421
32,152,465,,0,0.4172191710749421
33,206,228,,0,0.4172191710749421
34,23,486,,0,0.4172191710749421
35,137,367,,0,0.4172191710749421
36,227,367,,0,0.4172191710749421
37,17,131,,0,0.4172191710749421
38,230,362,,0,0.4172191710749421
39,45,439,,0,0.4172191710749421
40,37,298,,0,0.4172191710749421
41,283,318,,0,0.4172191710749421
42,41,423,,0,0.4172191710749421
43,40,42,,0,0.4172191710749421
44,11,12,,0,0.4172191710749421
45,416,454,,0,0.4172191710749421
46,5,344,,0,0.4172191710749421
47,264,354,,0,0.4172191710749421
48,13,59,,0,0.4172191710749421
49,235,488,,0,0.4172191710749421
50,13,117,,0,0.4172191710749421
51,26,101,,0,0.4172191710749421
52,10,482,,0,0.4172191710749421
53,7,220,,0,0.4172191710749421
54,32,341,,0,0.4172191710749421
55,201,413,,0,0.4172191710749421
56,323,342,,0,0.4172191710749421
57,104,204,,0,0.4172191710749421
58,2,146,,0,0.4172191710749421
59,208,409,,0,0.4172191710749421
60,83,193,,0,0.4172191710749421
61,22,331,,0,0.4172191710749421
62,310,376,,0,0.4172191710749421
63,123,385,,0,0.4172191710749421
64,22,328,,0,0.4172191710749421
65,18,81,,0,0.4172191710749421
66,6,44,,0,0.4172191710749421
67,18,499,,0,0.4172191710749421
68,2,8,,0,0.4172191710749421
69,2,161,,0,0.4172191710749421
70,0,309,,0,0.4172191710749421
71,32,481,,0,0.4172191710749421
72,81,466,,0,0.4172191710749421
73,56,280,,0,0.4172191710749421
74,94,444,,1,0.3466011837820684
75,4,95,,1,0.3466011837820684
76,8,348,,1,0.3466011837820684
77,113,347,,1,0.3466011837820684
78,64,141,,1,0.3466011837820684
79,2,345,,1,0.3466011837820684
80,153,264,,1,0.3466011837820684
81,189,192,,1,0.3466011837820684
82,240,394,,1,0.3466011837820684
83,4,22,,1,0.3466011837820684
84,0,425,,1,0.3466011837820684
85,236,449,,1,0.3466011837820684
86,428,445,,1,0.3466011837820684
87,66,103,,1,0.3466011837820684
88,183,260,,1,0.3466011837820684
89,88,306,,1,0.3466011837820684
90,303,308,,1,0.3466011837820684
91,48,75,,1,0.3466011837820684
92,87,434,,1,0.3466011837820684
93,170,247,,1,0.3466011837820684
94,31,136,,1,0.3466011837820684
95,55,392,,1,0.3466011837820684
96,14,15,,1,0.3466011837820684
97,10,321,,1,0.3466011837820684
98,78,364,,1,0.3466011837820684
99,6,8,,1,0.3466011837820684
100,145,391,,1,0.3466011837820684
101,6,338,,1,0.3466011837820684
102,4,47,,1,0.3466011837820684
103,147,214,,1,0.3466011837820684
104,8,343,,1,0.3466011837820684
105,11,301,,1,0.3466011837820684
106,134,146,,1,0.3466011837820684
107,165,203,,1,0.3466011837820684
108,78,145,,1,0.3466011837820684
109,8,234,,1,0.3466011837820684
110,166,294,,1,0.3466011837820684
111,15,473,,1,0.3466011837820684
112,35,482,,1,0.3466011837820684
113,42,228,,1,0.3466011837820684
114,19,68,,1,0.3466011837820684
115,23,101,,1,0.3466011837820684
116,128,185,,1,0.3466011837820684
117,8,276,,1,0.3466011837820684
118,15,26,,1,0.3466011837820684
119,43,299,,1,0.3466011837820684
120,124,144,,1,0.3466011837820684
121,12,365,,1,0.3466011837820684
122,173,414,,1,0.3466011837820684
123,2,5,,1,0.3466011837820684
124,40,169,,1,0.3466011837820684
125,2,165,,1,0.3466011837820684
126,132,187,,1,0.3466011837820684
127,39,207,,1,0.3466011837820684
128,128,278,,1,0.3466011837820684
129,6,422,,1,0.3466011837820684
130,39,480,,1,0.3466011837820684
131,7,110,,1,0.3466011837820684
132,30,290,,1,0.3466011837820684
133,29,301,,1,0.3466011837820684
134,70,148,,1,0.3466011837820684
135,138,212,,1,0.3466011837820684
136,44,427,,1,0.3466011837820684
137,49,52,,1,0.3466011837820684
138,180,283,,1,0.3466011837820684
139,6,429,,1,0.3466011837820684
140,28,38,,1,0.3466011837820684
141,126,175,,1,0.3466011837820684
142,247,375,,1,0.3466011837820684
143,111,151,,1,0.3466011837820684
144,121,183,,1,0.3466011837820684
145,245,254,,1,0.3466011837820684
146,121,426,,1,0.3466011837820684
147,28,69,,1,0.3466011837820684
148,72,348,,2,0.3977167333071444
149,23,496,,2,0.3977167333071444
150,3,257,,2,0.3977167333071444
151,67,357,,2,0.3977167333071444
152,212,498,,2,0.3977167333071444
153,376,430,,2,0.3977167333071444
154,23,120,,2,0.3977167333071444
155,78,146,,2,0.3977167333071444
156,125,249,,2,0.3977167333071444
157,86,158,,2,0.3977167333071444
158,4,294,,2,0.3977167333071444
159,9,473,,2,0.3977167333071444
160,76,181,,2,0.3977167333071444
161,9,382,,2,0.3977167333071444
162,36,488,,2,0.3977167333071444
163,391,393,,2,0.3977167333071444
164,34,198,,2,0.3977167333071444
165,1,310,,2,0.3977167333071444
166,2,195,,2,0.3977167333071444
167,168,348,,2,0.3977167333071444
168,20,280,,2,0.3977167333071444
169,38,143,,2,0.3977167333071444
170,4,107,,2,0.3977167333071444
171,153,391,,2,0.3977167333071444
172,0,345,,2,0.3977167333071444
173,390,418,,2,0.3977167333071444
174,289,470,,2,0.3977167333071444
175,58,361,,2,0.3977167333071444
176,1,10,,2,0.3977167333071444
177,9,70,,2,0.3977167333071444
178,9,100,,2,0.3977167333071444
179,322,422,,2,0.3977167333071444
180,230,427,,2,0.3977167333071444
181,16,160,,2,0.3977167333071444
182,9,94,,2,0.3977167333071444
183,5,213,,2,0.3977167333071444
184,1,120,,2,0.3977167333071444
185,11,238,,2,0.3977167333071444
186,9,104,,2,0.3977167333071444
187,203,477,,2,0.3977167333071444
188,3,24,,2,0.3977167333071444
189,223,227,,2,0.3977167333071444
190,119,416,,2,0.3977167333071444
191,76,87,,2,0.3977167333071444
192,62,403,,2,0.3977167333071444
193,20,136,,2,0.3977167333071444
194,7,347,,2,0.3977167333071444
