,u,v,khopnode,repeat,distance
0,118,179,3,0,0.4254906295994558
1,3,15,3,0,0.4254906295994558
2,3,118,3,0,0.4254906295994558
3,3,19,3,0,0.4254906295994558
4,3,13,3,0,0.4254906295994558
5,3,421,3,0,0.4254906295994558
6,3,11,3,0,0.4254906295994558
7,3,268,3,0,0.4254906295994558
8,17,421,3,0,0.4254906295994558
9,78,179,3,0,0.4254906295994558
10,3,17,3,0,0.4254906295994558
11,3,151,3,0,0.4254906295994558
12,8,230,3,0,0.4254906295994558
13,17,277,3,0,0.4254906295994558
14,3,373,3,0,0.4254906295994558
15,3,315,3,0,0.4254906295994558
16,5,53,3,0,0.4254906295994558
17,3,75,3,0,0.4254906295994558
18,4,8,3,0,0.4254906295994558
19,13,258,3,0,0.4254906295994558
20,3,12,3,0,0.4254906295994558
21,3,5,3,0,0.4254906295994558
22,3,428,3,0,0.4254906295994558
23,3,277,3,0,0.4254906295994558
24,3,130,3,0,0.4254906295994558
25,18,44,3,0,0.4254906295994558
26,4,5,3,0,0.4254906295994558
27,3,44,3,0,0.4254906295994558
28,7,117,3,0,0.4254906295994558
29,12,268,3,0,0.4254906295994558
30,3,332,3,0,0.4254906295994558
31,18,258,3,0,0.4254906295994558
32,1,54,3,0,0.4254906295994558
33,3,362,3,0,0.4254906295994558
34,3,492,3,0,0.4254906295994558
35,3,221,3,0,0.4254906295994558
36,1,3,3,0,0.4254906295994558
37,3,260,3,0,0.4254906295994558
38,3,7,3,0,0.4254906295994558
39,0,118,3,0,0.4254906295994558
40,1,118,3,0,0.4254906295994558
41,308,428,3,0,0.4254906295994558
42,18,24,3,0,0.4254906295994558
43,75,315,3,0,0.4254906295994558
44,5,12,3,0,0.4254906295994558
45,3,235,3,0,0.4254906295994558
46,3,402,3,0,0.4254906295994558
47,3,18,3,0,0.4254906295994558
48,3,67,3,0,0.4254906295994558
49,3,8,3,0,0.4254906295994558
50,3,123,3,0,0.4254906295994558
51,75,332,3,0,0.4254906295994558
52,15,75,3,0,0.4254906295994558
53,3,163,3,0,0.4254906295994558
54,3,308,3,0,0.4254906295994558
55,15,18,3,0,0.4254906295994558
56,1,8,3,0,0.4254906295994558
57,3,41,3,0,0.4254906295994558
58,153,492,3,0,0.4254906295994558
59,3,78,3,0,0.4254906295994558
60,4,41,3,0,0.4254906295994558
61,18,139,3,0,0.4254906295994558
62,4,163,3,0,0.4254906295994558
63,3,153,3,0,0.4254906295994558
64,2,7,3,0,0.4254906295994558
65,3,24,3,0,0.4254906295994558
66,41,235,3,0,0.4254906295994558
67,31,54,3,0,0.4254906295994558
68,78,402,3,0,0.4254906295994558
69,5,117,3,0,0.4254906295994558
70,12,151,3,0,0.4254906295994558
71,3,355,3,0,0.4254906295994558
72,3,230,3,0,0.4254906295994558
73,3,54,3,0,0.4254906295994558
74,24,71,5,1,0.3604264952890132
75,1,6,5,1,0.3604264952890132
76,1,20,5,1,0.3604264952890132
77,5,21,5,1,0.3604264952890132
78,1,3,5,1,0.3604264952890132
79,6,296,5,1,0.3604264952890132
80,3,62,5,1,0.3604264952890132
81,5,24,5,1,0.3604264952890132
82,5,17,5,1,0.3604264952890132
83,14,266,5,1,0.3604264952890132
84,5,20,5,1,0.3604264952890132
85,38,95,5,1,0.3604264952890132
86,0,237,5,1,0.3604264952890132
87,9,17,5,1,0.3604264952890132
88,3,98,5,1,0.3604264952890132
89,1,283,5,1,0.3604264952890132
90,39,351,5,1,0.3604264952890132
91,24,111,5,1,0.3604264952890132
92,6,7,5,1,0.3604264952890132
93,5,421,5,1,0.3604264952890132
94,1,37,5,1,0.3604264952890132
95,5,115,5,1,0.3604264952890132
96,21,36,5,1,0.3604264952890132
97,1,39,5,1,0.3604264952890132
98,5,7,5,1,0.3604264952890132
99,5,58,5,1,0.3604264952890132
100,9,51,5,1,0.3604264952890132
101,5,6,5,1,0.3604264952890132
102,5,71,5,1,0.3604264952890132
103,5,116,5,1,0.3604264952890132
104,5,332,5,1,0.3604264952890132
105,3,78,5,1,0.3604264952890132
106,5,9,5,1,0.3604264952890132
107,5,351,5,1,0.3604264952890132
108,14,18,5,1,0.3604264952890132
109,58,71,5,1,0.3604264952890132
110,5,37,5,1,0.3604264952890132
111,5,363,5,1,0.3604264952890132
112,5,79,5,1,0.3604264952890132
113,71,363,5,1,0.3604264952890132
114,14,80,5,1,0.3604264952890132
115,3,37,5,1,0.3604264952890132
116,21,80,5,1,0.3604264952890132
117,98,174,5,1,0.3604264952890132
118,8,57,5,1,0.3604264952890132
119,0,3,5,1,0.3604264952890132
120,115,116,5,1,0.3604264952890132
121,0,8,5,1,0.3604264952890132
122,5,403,5,1,0.3604264952890132
123,3,421,5,1,0.3604264952890132
124,9,14,5,1,0.3604264952890132
125,7,18,5,1,0.3604264952890132
126,21,179,5,1,0.3604264952890132
127,5,296,5,1,0.3604264952890132
128,5,283,5,1,0.3604264952890132
129,0,5,5,1,0.3604264952890132
130,5,179,5,1,0.3604264952890132
131,6,8,5,1,0.3604264952890132
132,5,78,5,1,0.3604264952890132
133,3,95,5,1,0.3604264952890132
134,6,17,5,1,0.3604264952890132
135,5,44,5,1,0.3604264952890132
136,5,111,5,1,0.3604264952890132
137,3,79,5,1,0.3604264952890132
138,174,332,5,1,0.3604264952890132
139,5,98,5,1,0.3604264952890132
140,14,44,5,1,0.3604264952890132
141,5,266,5,1,0.3604264952890132
142,5,55,5,1,0.3604264952890132
143,24,38,5,1,0.3604264952890132
144,21,94,5,1,0.3604264952890132
145,5,306,5,1,0.3604264952890132
146,3,5,5,1,0.3604264952890132
147,5,36,5,1,0.3604264952890132
148,4,14,4,2,0.39886410869274935
149,51,131,4,2,0.39886410869274935
150,4,67,4,2,0.39886410869274935
151,4,29,4,2,0.39886410869274935
152,34,233,4,2,0.39886410869274935
153,5,367,4,2,0.39886410869274935
154,4,205,4,2,0.39886410869274935
155,205,266,4,2,0.39886410869274935
156,4,294,4,2,0.39886410869274935
157,76,162,4,2,0.39886410869274935
158,11,205,4,2,0.39886410869274935
159,2,4,4,2,0.39886410869274935
160,14,131,4,2,0.39886410869274935
161,11,44,4,2,0.39886410869274935
162,1,14,4,2,0.39886410869274935
163,4,33,4,2,0.39886410869274935
164,4,44,4,2,0.39886410869274935
165,208,423,4,2,0.39886410869274935
166,4,464,4,2,0.39886410869274935
167,4,5,4,2,0.39886410869274935
168,11,67,4,2,0.39886410869274935
169,4,265,4,2,0.39886410869274935
170,163,348,4,2,0.39886410869274935
171,5,6,4,2,0.39886410869274935
172,1,7,4,2,0.39886410869274935
173,4,162,4,2,0.39886410869274935
174,4,68,4,2,0.39886410869274935
175,42,294,4,2,0.39886410869274935
176,4,163,4,2,0.39886410869274935
177,2,7,4,2,0.39886410869274935
178,2,203,4,2,0.39886410869274935
179,4,354,4,2,0.39886410869274935
180,11,354,4,2,0.39886410869274935
181,4,11,4,2,0.39886410869274935
182,4,34,4,2,0.39886410869274935
183,4,203,4,2,0.39886410869274935
184,3,16,4,2,0.39886410869274935
185,4,7,4,2,0.39886410869274935
186,19,140,4,2,0.39886410869274935
187,4,266,4,2,0.39886410869274935
188,4,423,4,2,0.39886410869274935
189,4,367,4,2,0.39886410869274935
190,76,78,4,2,0.39886410869274935
191,5,14,4,2,0.39886410869274935
192,3,4,4,2,0.39886410869274935
193,1,4,4,2,0.39886410869274935
194,2,29,4,2,0.39886410869274935
195,1,3,4,2,0.39886410869274935
196,4,348,4,2,0.39886410869274935
197,4,17,4,2,0.39886410869274935
198,4,78,4,2,0.39886410869274935
199,9,33,4,2,0.39886410869274935
200,9,116,4,2,0.39886410869274935
201,4,76,4,2,0.39886410869274935
202,2,3,4,2,0.39886410869274935
203,29,44,4,2,0.39886410869274935
204,3,51,4,2,0.39886410869274935
205,4,437,4,2,0.39886410869274935
206,4,9,4,2,0.39886410869274935
207,2,19,4,2,0.39886410869274935
208,4,60,4,2,0.39886410869274935
209,4,57,4,2,0.39886410869274935
210,33,81,4,2,0.39886410869274935
211,2,78,4,2,0.39886410869274935
212,16,464,4,2,0.39886410869274935
213,4,19,4,2,0.39886410869274935
214,29,378,4,2,0.39886410869274935
215,3,5,4,2,0.39886410869274935
216,4,81,4,2,0.39886410869274935
217,6,9,4,2,0.39886410869274935
218,17,19,4,2,0.39886410869274935
219,19,42,4,2,0.39886410869274935
220,6,68,4,2,0.39886410869274935
221,6,16,4,2,0.39886410869274935
222,4,8,4,3,0.4357338149734884
223,16,21,4,3,0.4357338149734884
224,1,11,4,3,0.4357338149734884
225,71,405,4,3,0.4357338149734884
226,7,20,4,3,0.4357338149734884
227,4,337,4,3,0.4357338149734884
228,4,182,4,3,0.4357338149734884
229,1,3,4,3,0.4357338149734884
230,1,4,4,3,0.4357338149734884
231,4,71,4,3,0.4357338149734884
232,4,28,4,3,0.4357338149734884
233,16,244,4,3,0.4357338149734884
234,12,222,4,3,0.4357338149734884
235,4,13,4,3,0.4357338149734884
236,4,67,4,3,0.4357338149734884
237,16,28,4,3,0.4357338149734884
238,15,472,4,3,0.4357338149734884
239,19,182,4,3,0.4357338149734884
240,7,11,4,3,0.4357338149734884
241,4,112,4,3,0.4357338149734884
242,3,352,4,3,0.4357338149734884
243,12,25,4,3,0.4357338149734884
244,41,112,4,3,0.4357338149734884
245,3,360,4,3,0.4357338149734884
246,8,65,4,3,0.4357338149734884
247,1,16,4,3,0.4357338149734884
248,15,140,4,3,0.4357338149734884
249,4,77,4,3,0.4357338149734884
250,4,65,4,3,0.4357338149734884
251,4,222,4,3,0.4357338149734884
252,3,19,4,3,0.4357338149734884
253,8,420,4,3,0.4357338149734884
254,4,53,4,3,0.4357338149734884
255,4,198,4,3,0.4357338149734884
256,4,12,4,3,0.4357338149734884
257,4,16,4,3,0.4357338149734884
258,67,115,4,3,0.4357338149734884
259,4,405,4,3,0.4357338149734884
260,4,352,4,3,0.4357338149734884
261,8,34,4,3,0.4357338149734884
262,4,420,4,3,0.4357338149734884
263,4,140,4,3,0.4357338149734884
264,13,337,4,3,0.4357338149734884
265,4,34,4,3,0.4357338149734884
266,4,300,4,3,0.4357338149734884
267,4,38,4,3,0.4357338149734884
268,16,483,4,3,0.4357338149734884
269,4,20,4,3,0.4357338149734884
270,4,483,4,3,0.4357338149734884
271,4,11,4,3,0.4357338149734884
272,7,50,4,3,0.4357338149734884
273,3,41,4,3,0.4357338149734884
274,4,360,4,3,0.4357338149734884
275,15,71,4,3,0.4357338149734884
276,4,41,4,3,0.4357338149734884
277,4,7,4,3,0.4357338149734884
278,38,71,4,3,0.4357338149734884
279,3,77,4,3,0.4357338149734884
280,4,320,4,3,0.4357338149734884
281,115,140,4,3,0.4357338149734884
282,4,50,4,3,0.4357338149734884
283,4,21,4,3,0.4357338149734884
284,1,41,4,3,0.4357338149734884
285,3,7,4,3,0.4357338149734884
286,0,3,4,3,0.4357338149734884
287,4,19,4,3,0.4357338149734884
288,13,198,4,3,0.4357338149734884
289,0,4,4,3,0.4357338149734884
290,1,53,4,3,0.4357338149734884
291,4,244,4,3,0.4357338149734884
292,4,472,4,3,0.4357338149734884
293,4,115,4,3,0.4357338149734884
294,4,25,4,3,0.4357338149734884
295,25,300,4,3,0.4357338149734884
296,2,143,2,4,0.48233862146222106
297,100,179,2,4,0.48233862146222106
298,4,7,2,4,0.48233862146222106
299,2,9,2,4,0.48233862146222106
300,12,100,2,4,0.48233862146222106
301,8,25,2,4,0.48233862146222106
302,62,265,2,4,0.48233862146222106
303,2,46,2,4,0.48233862146222106
304,7,223,2,4,0.48233862146222106
305,6,243,2,4,0.48233862146222106
306,2,223,2,4,0.48233862146222106
307,2,6,2,4,0.48233862146222106
308,2,35,2,4,0.48233862146222106
309,2,262,2,4,0.48233862146222106
310,3,25,2,4,0.48233862146222106
311,3,35,2,4,0.48233862146222106
312,4,12,2,4,0.48233862146222106
313,2,179,2,4,0.48233862146222106
314,6,445,2,4,0.48233862146222106
315,2,265,2,4,0.48233862146222106
316,3,276,2,4,0.48233862146222106
317,12,162,2,4,0.48233862146222106
318,3,93,2,4,0.48233862146222106
319,2,4,2,4,0.48233862146222106
320,2,238,2,4,0.48233862146222106
321,7,299,2,4,0.48233862146222106
322,2,3,2,4,0.48233862146222106
323,2,110,2,4,0.48233862146222106
324,2,31,2,4,0.48233862146222106
325,2,8,2,4,0.48233862146222106
326,2,264,2,4,0.48233862146222106
327,4,6,2,4,0.48233862146222106
328,2,402,2,4,0.48233862146222106
329,110,262,2,4,0.48233862146222106
330,2,376,2,4,0.48233862146222106
331,94,98,2,4,0.48233862146222106
332,2,276,2,4,0.48233862146222106
333,2,100,2,4,0.48233862146222106
334,2,94,2,4,0.48233862146222106
335,6,8,2,4,0.48233862146222106
336,2,62,2,4,0.48233862146222106
337,13,62,2,4,0.48233862146222106
338,7,100,2,4,0.48233862146222106
339,2,25,2,4,0.48233862146222106
340,2,93,2,4,0.48233862146222106
341,2,299,2,4,0.48233862146222106
342,46,238,2,4,0.48233862146222106
343,6,67,2,4,0.48233862146222106
344,13,35,2,4,0.48233862146222106
345,2,13,2,4,0.48233862146222106
346,2,12,2,4,0.48233862146222106
347,2,105,2,4,0.48233862146222106
348,2,68,2,4,0.48233862146222106
349,264,265,2,4,0.48233862146222106
350,9,110,2,4,0.48233862146222106
351,98,179,2,4,0.48233862146222106
352,46,68,2,4,0.48233862146222106
353,2,76,2,4,0.48233862146222106
354,2,243,2,4,0.48233862146222106
355,3,105,2,4,0.48233862146222106
356,9,31,2,4,0.48233862146222106
357,7,143,2,4,0.48233862146222106
358,31,76,2,4,0.48233862146222106
359,7,76,2,4,0.48233862146222106
360,2,67,2,4,0.48233862146222106
361,2,445,2,4,0.48233862146222106
362,264,376,2,4,0.48233862146222106
